                     STATION                           DATE        PRCP   TMAX     TMIN      
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 01     0.36   67.00    48.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 02     0.00   58.00    40.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 03     0.00   63.00    34.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 04     0.00   71.00    33.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 05     0.11   59.00    48.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 06     0.06   66.00    48.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 07     0.00   48.00    32.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 08     0.00   48.00    30.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 09     0.00   63.00    26.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 10     1.18   58.00    50.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 11     0.20   60.00    40.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 12     0.00   53.00    37.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 13     0.00   56.00    30.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 14     0.00   51.00    30.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 15     0.00   69.00    30.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 16     0.00   69.00    44.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 17     0.07   79.00    58.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 18     0.18   65.00    48.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 19     0.17   71.00    53.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 20     0.00   55.00    39.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 21     0.00   54.00    34.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 22     0.00   60.00    31.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 23     0.01   63.00    38.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 24     0.01   70.00    50.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 25     0.11   69.00    53.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 26     0.00   56.00    51.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 27     0.00   65.00    49.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 28     0.00   72.00    57.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 29     0.85   70.00    55.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 30     0.00   62.00    42.00     
HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD AL US  2018 03 31     0.00   69.00    37.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 01     0.43   65.00    47.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 02     0.00   56.00    40.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 03     0.00   61.00    32.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 04     0.00   69.00    32.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 05     0.14   58.00    47.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 06     0.02   65.00    47.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 07     0.00   47.00    32.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 08     0.00   47.00    28.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 09     0.00   63.00    24.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 10     0.82   56.00    48.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 11     0.38   59.00    38.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 12     0.00   52.00    35.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 13     0.00   54.00    27.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 14     0.00   49.00    28.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 15     0.00   69.00    26.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 16     0.00   69.00    39.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 17     0.14   79.00    58.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 18     0.09   63.00    47.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 19     0.26   69.00    52.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 20     0.00   55.00    37.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 21     0.00   53.00    33.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 22     0.00   58.00    28.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 23     0.01   63.00    36.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 24     0.00   69.00    52.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 25     0.16   68.00    51.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 26     0.00   55.00    48.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 27     0.00   64.00    46.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 28     0.00   72.00    58.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 29     0.97   68.00    54.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 30     0.00   60.00    40.00     
            SOUTHWEST HUNTSVILLE AL US              2018 03 31     0.00   71.00    34.00     
